Account address,Show boosts
•••••,true
@aap_saaorg@fediscience.org,true
@Fornvannen@archaeo.social,true
@frontiere_s_@mastodon.social,true
@landscaperesearch@mas.to,true
@PCI_Archaeology@archaeo.social,true
@PrehistoricSociety@mastodonapp.uk,true
@Antiquity@archaeo.social,true
•••••,true
@EAAarchaeology@fediscience.org,true
@AMPHORA@mas.to,true
@caanlfl@akademienl.social,true
@ScotArchStrat@mastodonapp.uk,true
@OperationNightingale@mastodonapp.uk,true
@CAA_int@archaeo.social,true
@RomanArchaeo@archaeology.social,true
@CANI@archaeo.social,true
@AHAHistorians@historians.social,true
@beadsocietygb@mastodon.world,true
•••••,true
@arf_ucb@archaeo.social,true
@ExperimentalArchaeology@mastodon.green,true
@brownarchaeology@archaeo.social,true
@Harvatilab_tue@archaeo.social,true
@tueslunchlect@archaeo.social,true
@BTU_Geopedology@mastodon.world,true
@RadicalAnthro@c.im,true
@archITCologne@nrw.social,true
•••••,true
@Nokalakevi@mas.to,true
@minetopcubasi@mstdn.social,true
@apsap@fediscience.org,true
@TheFrameBlog@mastodon.world,true
@revive_erc@archaeo.social,true
@butserancientfarm@mastodonapp.uk,true
@clusterroots@fediscience.org,true
@EssexEgyptology@archaeo.social,true
@ISSarchaeology@archaeo.social,true
@RoaminTheEmpire@archaeo.social,true
@haam_community@genomic.social,true
@VikingDublinDogs@mastodon.ie,true
@mahsa_project@archaeo.social,true
@aboutlandscape@mas.to,true
•••••,true
@caa2023@fediscience.org,true
•••••,true
@MuseumHalle@mastodon.social,true
@msr_tlse@piaille.fr,true
@roemerhaus@bawü.social,true
@auschwitzmuseum@mastodon.world,true
@LMWStuttgart@xn--baw-joa.social,true
•••••,true
@mooregroup@mastodon.social,true
@redriverarchaeology@archaeo.social,true
@archaeoptics@mastodon.online,true
•••••,true
@NOSAS@mastodon.scot,true
@OAS@mastodon.scot,true
@SWACS@archaeo.social,true
@enfarchsoc@mastodonapp.uk,true
•••••,true
@archpaperscode@archaeo.social,true
@eartharxiv@qoto.org,true
@whencyclopedia@mstdn.social,true
@artefactCollection@botsin.space,true
@pleiades@botsin.space,true
•••••,true
@Rchaeology@archaeo.social,true
@pasthorizons@mastodon.social,true
@stonepages@archaeo.social,true
@megalithic@archaeo.social,true
@HeritageDaily@archaeology.social,true
@talesfromthetwolands@universeodon.com,true
@BlackTrowel@archaeo.social,true
@SAPIENS_org@mastodon.world,true
@oldmapgallery@sciencemastodon.com,true
@clonehenge@mas.to,true
@Rome_and_stuff@mastodon.social,true
@mythologymonday@thefolklore.cafe,true
@archaeohistories@ohai.social,true
@EquipmentRoman@archaeology.social,true
•••••,true
@NikaShilobod@fediscience.org,true
@josh@fediscience.org,true
@birgittahoffmann@mastodon.social,true
@anthroyeti@scicomm.xyz,true
@StillJustRena@mastodon.social,true
@cdwren@fediscience.org,true
subbasegirl@masto.ai,true
@geoffreymsmith@mstdn.science,true
@tess_machling@mastodonapp.uk,true
@RebeccaGilmour@fediscience.org,true
@CaraJones@mastodon.scot,true
@NatalieGBoyd@archaeo.social,true
@benmarwick@mastodon.social,true
@drsueoosthuizen@mastodon.social,true
@ethan@scholar.social,true
@ekansa@scholar.social,true
@strabert@toot.community,true
@fiftysitesbook@mastodon.social,true
@clmorgan@archaeo.social,true
@RonaldVisser@akademienl.social,true
@CJFrieman@aus.social,true
@Kayt_MB@mastodonapp.uk,true
@toothFAIRy@scholar.social,true
@archaeorowe@mastodonapp.uk,true
@laraband@mas.to,true
@BlckheathHopper@archaeo.social,true
@UllaMR@mastodon.social,true
@geoffreymsmith@fediscience.org,true
@GRSchug@mas.to,true
@EddieCStewart@mastodon.scot,true
@natashareynolds@mastodon.ie,true
@aidanosullivan@mastodon.ie,true
@ArchaeologyTony@c.im,true
@killgrove@mastodon.social,true
@aejolene@octodon.social,true
@ArchAce@scicomm.xyz,true
@jens2go@mastodon.social,true
@ajatnuvuk@fediscience.org,true
@HannahFluck@Mas.to,true
@KCNolanINDelCo@mastodon.online,true
@GraveyardArch@mas.to,true
@ladyofvix@jorts.horse,true
@JayTStock@mstdn.science,true
@IainArchaeol@scholar.social,true
@ninawillburger@social.anoxinon.de,true
@chaco_arch@scholar.social,true
@spon@ecoevo.social,true
@ArchaeoBasti@mastodon.online,true
@catrionacooper@toot.community,true
@sophiekniaz@mastodon.scot,true
@danielratcliffe@mastodon.scot,true
@diffendale@scholar.social,true
@joeroe@archaeo.social,true
@fabienbp@sciences.re,true
@archae_delle@c.im,true
@Cmount@mastodon.ie,true
@zackbatist@archaeo.social,true
@mikeheyworth@mastodon.me.uk,true
@anarchaeologe@mastodon.social,true
@Stylisharchaeologist@mastodon.online,true
@hluhman@toot.community,true
@electricarchaeo@scholar.social,true
@darrellRohl@scholar.social,true
@NeilJackman@mastodon.ie,true
@jjconeill@mastodon.ie,true
@DSAArchaeology@mastodon.online,true
@alveshere@mastodon.online,true
@martinatenzer@mas.to,true
@decodingtrolls@mastodon.world,true
@cscott58@scholar.social,true
@severian@mastodon.uno,true
@WulfgarTheBard@archaeo.social,true
@caeliambulator@mastodon.online,true
@jonasholmjaeger@archaeo.social,true
@andreatitolo@archaeo.social,true
@katepaxman@mas.to,true
@stephenniem@mastodon.online,true
@umoilanen@fediscience.org,true
@izarom@mas.to,true
@MatthewCollins@mastodon.socisl,true
@Dr_ClaireH@eldritch.cafe,true
"@barneyharris@sciences.social ",true
"@theoniongoddess@tooot.im ",true
@oliverdietrich@mastodon.social,true
@scotthaddow@archaeo.social,true
@penforeman@mastodonapp.uk,true
@mattyhari@qoto.org,true
@angie0714@m.cmx.im,true
@Arkeologen@mastodon.nu,true
@LeMoustier@mstdn.science,true
@archae_AD@home.social,true
@Archaeostratego@mastodon.online,true
@LABrown@archaeo.social,true
@jqjacobs@archaeo.social,true
@FlintDibble@archaeo.social,true
@EtheSherdnerd@mastodonapp.uk,true
@PaulEverill@mas.to,true
@s3nnacherib@climatejustice.social,true
@KHMedievalArch@hcommons.social,true
@AM_Christensen@scholar.social,true
@PattMeeples@fediscience.org,true
@Diggah@mastadon.scot,true
@DerBuddler@mastodon.social,true
@robhedge@mas.to,true
@mstdn.science@dropsofhazel,true
@dental_bioarch@FediScience,true
@R@archaeo.social,true
@JamesGABrown@mastodonapp.uk,true
@itsinmybones@fediscience.org,true
@MastArchaeo@mastodon.scot,true
@archaeohlrau@mastodon.social,true
@tileman@mastodon.social,true
@juliahurley@mstdn.social,true
@yourfriendem@archaeo.social,true
@anemonenyme@sciences.re,true
@archexis@archaeo.social,true
@HIWISLC@mstdn.science,true
@archaeo_astrid@archaeo.social,true
@marcyrockman@climatejustice.social,true
@Reuterdahl@mastodon.nu,true
@RogWard@mastodon.social,true
@inti@archaeo.social,true
@swh113@mastodon.social,true
@spoke32@mastodon.social,true
@sarah_krienen@archaeo.social,true
@EleanorScerri@archaeo.social,true
@carrielarocco@mastodon.scot,true
@zuzu_chov@mastodon.online,true
@iestyn.jones@toot.wales,true
@kvhuntley@archaeo.social,true
@RebeccaRoberts@archaeo.social,true
@EvanSchultheis@archaeo.social,true
@lis_fis@archaeo.social,true
@craigcipolla@archaeo.social,true
@lifeinsherds@archaeo.social,true
@drdonnayates@archaeo.social,true
@stephenkay@mastodon.world,true
@MartaMirazonLahr@archaeo.social,true
@Dussel@fediscience.org,true
@gratefulwolf@archaeo.social,true
@kevinpijpers@akademienl.social,true
@mjhpeters@mas.to,true
@nicky_garland@hcommons.social,true
@Claire_M@mastodonapp.uk,true
@gweneferoure@mastodon.art,true
@staniukr@archaeo.social,true
@chaosmonaut@archaeo.social,true
@dodecahedragirl@universeodon.com,true
@PhotArchGit@mastodon.social,true
@VivianLaughlin@mastodon.social,true
@dimitrij@toot.community,true
@JacopoGennai@archaeo.social,true
@mariarelaki@mstdn.social,true
@antikemagie@archaeo.social,true
@eloquentpeasant@archaeo.social,true
@andrealala@mastodon.social,true
@RobertBarry@mastodon.social,true
@shirkskirt@universeodon.com,true
@Quatrus@kolektiva.social,true
@archaeomather@mastodon.social,true
@moritzmennenga@archaeo.social,true
@Dendrochronicle@mastodon.scot,true
@erinaverett@archaeo.social,true
@rajoyce@mstdn.social,true
@Tcrex@archaeo.social,true
@mikleonardi@ecoevo.social,true
@mdedrick@archaeo.social,true
@w6lsa@archaeo.social,true
@mrundkvist@archaeo.social,true
@archaeobotics@archaeo.social,true
@archaeoalchemy@archaeo.social,true
@Amandaghenry@archaeo.social,true
@telliot@mas.to,true
@DriesDaems@archaeo.social,true
@Archasa@archaeo.social,true
@SirioCD@masto.nu,true
@klangwiley@mastodon.social,true
@tom@archaeo.social,true
@mjvalente@hcommons.social,true
@jamesallison@archaeo.social,true
@smiergahttu@fosstodon.org,true
@ib@friendica.ingram-braun.net,true
@rmseifried@mapstodon.space,true
@daosborne@mastodon.scot,true
@emilylenajones@mastodon.social,true
@novetus@archaeo.social,true
@steko@octodon.social,true
